Rank, Player, Position, Team, Position_Rank, ADP
1, Jonathan Taylor, RB, Indianapolis Colts, RB1, 1.5
2, Christian McCaffrey, RB, Carolina Panthers, RB2, 3.5
3, Cooper Kupp, WR, Los Angeles Rams, WR1, 3.8
4, Austin Ekeler, RB, Los Angeles Chargers, RB3, 5.4
5, Justin Jefferson, WR, Minnesota Vikings, WR2, 6.3
6, Derrick Henry, RB, Tennessee Titans, RB4, 6.0
7, Ja'Marr Chase, WR, Cincinnati Bengals, WR3, 7.6
8, Dalvin Cook, RB, Minnesota Vikings, RB5, 10.3
9, Najee Harris, RB, Pittsburgh Steelers, RB6, 9.1
10, Travis Kelce, TE, Kansas City Chiefs, TE1, 20.1
11, Joe Mixon, RB, Cincinnati Bengals, RB7, 15.9
12, Davante Adams, WR, Las Vegas Raiders, WR4, 11.4
13, D'Andre Swift, RB, Detroit Lions, RB8, 17.4
14, Stefon Diggs, WR, Buffalo Bills, WR5, 13.3
15, Javonte Williams, RB, Denver Broncos, RB9, 25.9
16, CeeDee Lamb, WR, Dallas Cowboys, WR6, 16.7
17, Alvin Kamara, RB, New Orleans Saints, RB10, 17.2
18, Deebo Samuel, WR, San Francisco 49ers, WR7, 12.8
19, Tyreek Hill, WR, Miami Dolphins, WR8, 18.4
20, Leonard Fournette, RB, Tampa Bay Buccaneers, RB11, 22
21, Keenan Allen, WR, Los Angeles Chargers, WR9, 26.1
22, Mark Andrews, TE, Baltimore Ravens, TE2, 22.6
23, Aaron Jones, RB, Green Bay Packers, RB12, 24.6
24, Saquon Barkley, RB, New York Giants, RB13, 30.6
25, Nick Chubb, RB, Cleveland Browns, RB14, 27.9
26, James Conner, RB, Arizona Cardinals, RB15, 28.5
27, Kyle Pitts, TE, Atlanta Falcons, TE3, 40.9
28, Mike Evans, WR, Tampa Bay Buccaneers, WR10, 33.8
29, Cam Akers, RB, Los Angeles Rams, RB16, 33
30, Tee Higgins, WR, Cincinnati Bengals, WR11, 33.3
31, David Montgomery, RB, Chicago Bears, RB17, 45.6
32, A.J. Brown, WR, Philadelphia Eagles, WR12, 39.4
33, Josh Allen, QB, Buffalo Bills, QB1, 23.4
34, DJ Moore, WR, Carolina Panthers, WR13, 37.2
35, Antonio Gibson, RB, Washington Football Team, RB18, 59.1
